"id","Uid","Did","Key","Time","UpdateTime","avg_height","avg_hrm","calories","distance","duration","end_time","entityEndTime","entityOffsetTime","entityStartTime","hrm_aerobic_duration","hrm_anaerobic_duration","hrm_extreme_duration","hrm_fat_burning_duration","hrm_warm_up_duration","max_cadence","max_height","max_hrm","max_pace","max_speed","min_height","min_hrm","min_pace","proto_type","sport_type","start_time","steps","time","training_experience","timezone","version","total_cal","forefoot_landing_duration","golpe_landing_duration","heel_landing_duration","requestDivingId","corrected_distance","anaerobic_train_effect","anaerobic_train_effect_level","avg_cadence","avg_pace","avg_stride","energy_consume","recover_time","reserve_hr_zone","running_ability_index","running_ability_level","train_effect","aerobic_train_effect_level","train_load","train_load_level","valid_duration","vo2_max","vo2_max_level","avg_speed","fall_height","rise_height"
"6218970817_xiaomiwear_app_1730676991",6218970817,"xiaomiwear_app","outdoor_run_class",1730676991,1730678719,0,146,153,5252,1639,1730678630,NA,NA,NA,1097,139,0,363,12,192,0,165,229,15,0,83,1828,22,1,1730676991,4755,1730676991,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1730589715",6218970817,"xiaomiwear_app","outdoor_run_class",1730589715,1730592889,0,152,326,8831,3165,1730592882,NA,NA,NA,1191,1238,0,696,15,198,0,176,228,15,0,87,2311,22,1,1730589715,8866,1730589715,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1728514192",6218970817,"777365055","outdoor_run_class",1728514192,1728519984,NA,169,448,10060,3542,1728517732,NA,NA,NA,245,3199,9,31,26,184,NA,180,309,11.04,NA,83,2400,22,1,1728514192,10351,1728514192,NA,-24,1,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1727653043",6218970817,"777365055","outdoor_run_class",1727653043,1727658769,NA,167,387,9198,3129,1727656170,NA,NA,NA,445,2293,263,105,16,192,NA,191,265,12.78,NA,93,833,22,1,1727653043,9251,1727653043,NA,-24,1,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1727049618",6218970817,"777365055","outdoor_run_class",1727049618,1727132293,NA,162,230,5809,2004,1727051621,NA,NA,NA,460,895,361,242,28,200,NA,185,258,13.5,NA,94,1071,22,1,1727049618,5468,1727049618,NA,-24,1,275,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1726702962",6218970817,"777365055","outdoor_run_class",1726702962,1726774980,NA,157,224,5285,2046,1726705007,NA,NA,NA,616,905,120,362,26,200,NA,186,258,13.38,NA,96,1578,22,1,1726702962,5189,1726702962,NA,-24,1,270,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1725838361",6218970817,"xiaomiwear_app","outdoor_run_class",1725838361,1725850091,0,136,338,8746,4164,1725842527,NA,NA,NA,1794,508,0,449,1375,192,0,179,207,17,0,75,2208,22,1,1725838361,9732,1725838361,NA,-24,5,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1725374617",6218970817,"xiaomiwear_app","outdoor_run_class",1725374617,1725377657,0,157,271,6309,2447,1725377065,NA,NA,NA,494,1277,164,465,22,186,0,187,238,15,0,92,2224,22,1,1725374617,6572,1725374617,NA,-24,5,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1725220514",6218970817,"xiaomiwear_app","outdoor_run_class",1725220514,1725226076,0,174,698,14546,5206,1725225721,1725225721,-21600,1725220514,300,2724,2085,37,28,192,0,189,246,14,0,129,1941,22,1,1725220514,14938,1725220514,3,-24,5,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1724627899",6218970817,"xiaomiwear_app","outdoor_run_class",1724627899,1724631903,0,157,399,9325,3593,1724631492,NA,NA,NA,943,1595,310,562,161,192,0,186,217,16,0,76,2275,22,1,1724627899,9325,1724627899,NA,-24,5,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1724023713",6218970817,"xiaomiwear_app","outdoor_run_class",1724023713,1724027402,0,133,282,6784,3681,1724027394,NA,NA,NA,596,1007,0,523,1287,180,0,175,237,15,0,87,2244,22,1,1724023713,8142,1724023713,NA,-24,5,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1720396638",6218970817,"xiaomiwear_app","outdoor_run_class",1720396638,1720401373,0,153,490,9331,4727,1720401368,NA,NA,NA,977,1180,1146,661,417,192,0,196,264,13,0,129,2336,22,1,1720396638,10020,1720396638,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1716680829",6218970817,"xiaomiwear_app","outdoor_run_class",1716680829,1716685911,0,142,407,10093,4603,1716685433,NA,NA,NA,1251,1066,255,690,1268,204,0,187,208,17,0,85,2370,22,1,1716680829,10506,1716680829,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1716566511",6218970817,"xiaomiwear_app","outdoor_run_class",1716566511,1716569429,0,167,342,7401,2833,1716569346,NA,NA,NA,469,1272,793,253,8,186,0,190,232,15,0,91,2009,22,1,1716566511,7073,1716566511,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1716479206",6218970817,"xiaomiwear_app","outdoor_run_class",1716479206,1716566470,0,NA,85,2040,1127,1716480333,NA,NA,NA,NA,NA,NA,NA,NA,186,0,NA,214,16,0,NA,2350,22,1,1716479206,1858,1716479206,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1716162330",6218970817,"xiaomiwear_app","outdoor_run_class",1716162330,1716187126,0,140,385,8713,4519,1716166851,NA,NA,NA,706,1479,0,1001,1302,186,0,179,254,14,0,68,2336,22,1,1716162330,9997,1716162330,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1711927695",6218970817,"xiaomiwear_app","outdoor_run_class",1711927695,1711931611,0,163,360,8625,3081,1711930778,NA,NA,NA,541,1207,854,425,43,222,0,189,229,15,0,104,1770,22,1,1711927695,8235,1711927695,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1711841084",6218970817,"xiaomiwear_app","outdoor_run_class",1711841084,1711931607,0,175,385,8635,2868,1711843955,NA,NA,NA,190,1252,1346,33,26,198,0,188,241,14,0,96,1531,22,1,1711841084,8224,1711841084,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1711324720",6218970817,"xiaomiwear_app","not_outdoor_run_class",1711324720,1711328323,NA,110,106,14380,3478,1711328198,NA,NA,NA,0,0,0,971,1804,NA,NA,139,NA,31,NA,70,NA,23,6,1711324720,NA,1711324720,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1710114479",6218970817,"xiaomiwear_app","outdoor_run_class",1710114479,1710116261,0,167,174,5021,1390,1710115870,NA,NA,NA,435,174,670,43,46,204,0,193,NA,16,0,86,NA,22,1,1710114479,4186,1710114479,4,-24,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1709648667",6218970817,"xiaomiwear_app","outdoor_run_class",1709648667,1709651309,0,152,244,6643,2401,1709651070,1709651070,-21600,1709648667,934,842,33,478,99,192,0,186,207,17,0,100,2121,22,1,1709648667,6356,1709648667,3,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
